Age,Gender,Country,treatment,work_interfere,remote_work,mental_health_consequence,phys_health_consequence,mental_vs_physical
37,F,United States,Yes,Often,No,No,No,Yes
44,M,United States,No,Rarely,No,Maybe,No,Don't know
32,M,Canada,No,Rarely,No,No,No,No
31,M,United Kingdom,Yes,Often,No,Yes,Yes,No
31,M,United States,No,Never,Yes,No,No,Don't know
33,M,United States,No,Sometimes,No,No,No,Don't know
35,F,United States,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
39,M,Canada,No,Never,Yes,No,No,No
42,F,United States,Yes,Sometimes,No,Maybe,No,No
23,M,Canada,No,Never,No,No,No,Yes
31,M,United States,Yes,Sometimes,Yes,No,No,Don't know
29,M,Bulgaria,No,Never,Yes,No,No,Don't know
42,F,United States,Yes,Sometimes,No,Yes,Yes,No
36,M,United States,No,Never,No,No,No,Don't know
27,M,Canada,No,Never,No,No,No,Yes
29,F,United States,Yes,Rarely,No,No,No,Don't know
23,M,United Kingdom,Yes,Sometimes,Yes,Maybe,No,No
32,M,United States,Yes,Sometimes,No,Maybe,No,No
46,M,United States,No,Sometimes,Yes,No,No,Yes
36,M,France,No,N/N,Yes,No,No,Don't know
29,M,United States,Yes,Sometimes,No,Maybe,No,No
31,M,United States,No,Never,Yes,No,No,Yes
46,M,United States,Yes,Often,Yes,Maybe,No,No
41,M,United States,Yes,Never,No,Maybe,No,Don't know
33,M,United States,Yes,Rarely,No,No,No,Don't know
35,M,United States,Yes,Sometimes,No,Yes,No,No
33,M,United States,No,N/N,No,Maybe,Maybe,Don't know
35,F,United States,Yes,Rarely,Yes,No,No,Yes
34,M,United States,Yes,Sometimes,Yes,No,No,No
37,M,United Kingdom,No,Sometimes,No,Yes,Maybe,No
32,M,United Kingdom,No,Never,Yes,Yes,Yes,No
31,M,United States,No,Rarely,Yes,Yes,No,No
30,M,United Kingdom,Yes,Sometimes,Yes,Maybe,No,Don't know
42,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
40,F,United States,Yes,Sometimes,No,Maybe,No,Yes
27,M,United States,Yes,Rarely,No,No,No,Don't know
29,M,Canada,No,Rarely,No,Yes,Maybe,Don't know
38,M,Portugal,No,N/N,No,Maybe,No,No
50,M,United States,No,N/N,No,No,No,Don't know
35,M,United States,Yes,Rarely,Yes,No,No,Yes
24,M,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,No
35,M,United States,No,N/N,Yes,Yes,Yes,Don't know
27,M,Canada,Yes,Sometimes,No,Maybe,No,Yes
18,M,Netherlands,No,Often,No,Yes,Maybe,No
30,M,United States,Yes,Sometimes,No,No,No,Don't know
38,F,United States,Yes,Sometimes,No,No,No,Yes
28,M,United Kingdom,No,N/N,No,No,Maybe,Don't know
34,M,United States,No,N/N,No,No,No,Don't know
26,M,Canada,No,Sometimes,No,No,No,Yes
30,M,United States,Yes,Rarely,No,Maybe,No,Don't know
