rw_percentage_2020,rw_is_common_at_org,productivity_remote_vs_office,inperson_hours__working,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
4-5 days,Somewhat agree,much more productive,8.0,0.5,8.0,3.5,2.0
1-2 days,Somewhat agree,less productive,7.0,0.0,7.0,3.0,3.0
2-3 days,Somewhat agree,less productive,1.0,5.0,2.0,7.0,7.0
4-5 days,Somewhat agree,same productivity,9.0,0.0,9.0,3.0,2.0
4-5 days,Strongly agree,more productive,8.0,0.0,6.0,4.0,3.0
3-4 days,Strongly agree,same productivity,8.0,0.0,7.0,3.0,3.0
4-5 days,Strongly agree,much more productive,8.0,0.0,8.0,5.0,3.0
4-5 days,Somewhat agree,much less productive,8.0,0.4,6.0,4.0,6.0
3-4 days,Strongly agree,much more productive,8.0,0.0,8.0,4.0,1.0
2-3 days,Strongly agree,less productive,8.5,1.0,8.5,6.0,2.0
4-5 days,Neither agree nor disagree,same productivity,8.0,0.5,8.0,5.0,2.0
4-5 days,Strongly agree,more productive,10.0,0.5,12.0,4.0,2.0
4-5 days,Strongly agree,less productive,8.0,0.0,9.0,2.0,1.0
4-5 days,Somewhat agree,much more productive,12.0,0.0,13.0,5.0,1.0
2-3 days,Neither agree nor disagree,same productivity,5.0,0.5,5.0,4.0,2.0
4-5 days,Strongly agree,same productivity,8.0,0.5,9.0,6.0,2.0
4-5 days,Somewhat agree,much more productive,8.0,0.25,9.0,2.0,2.0
0-1 days,Strongly agree,much less productive,10.0,1.0,12.0,2.0,2.0
1-2 days,Strongly agree,much more productive,4.0,0.0,5.0,8.0,0.5
0-1 days,Strongly disagree,much more productive,8.0,0.5,8.0,1.5,3.0
4-5 days,Somewhat agree,same productivity,8.0,0.5,8.0,4.0,3.0
4-5 days,Strongly agree,much more productive,7.0,0.5,9.0,9.5,5.0
4-5 days,Strongly agree,more productive,7.5,1.0,7.5,2.0,2.0
1-2 days,Somewhat agree,much more productive,8.0,0.0,8.0,12.0,4.0
